ID,description,startDate,endDate,currency,status,customer_ID
ctr_001,Enterprise support contract,2025-01-01,2025-12-31,EUR,Active,cst_001
ctr_002,Cloud migration services,2025-03-01,2025-09-30,USD,Active,cst_001
ctr_003,Application maintenance,2024-06-01,2025-05-31,EUR,Inactive,cst_002
ctr_004,Data analytics rollout,2025-02-01,2025-11-30,USD,Active,cst_002
ctr_005,ERP implementation,2025-01-15,2026-01-14,EUR,Active,cst_003
ctr_006,Retail POS modernization,2024-10-01,2025-09-30,USD,Inactive,cst_003
ctr_007,IoT platform development,2025-04-01,2025-12-31,EUR,Active,cst_004
ctr_008,Security audit program,2025-02-01,2025-04-30,EUR,Inactive,cst_004
ctr_009,Logistics optimization project,2025-01-01,2025-10-31,EUR,Active,cst_005
ctr_010,Fleet tracking system,2025-05-01,2025-12-31,EUR,Draft,cst_005
ctr_011,Hospital system integration,2025-01-01,2025-12-31,BYN,Active,cst_006
ctr_012,Patient data migration,2025-03-01,2025-08-31,EUR,Active,cst_006
ctr_013,Core banking upgrade,2025-01-01,2026-06-30,EUR,Active,cst_007
ctr_014,Regulatory compliance project,2025-02-15,2025-12-15,EUR,Active,cst_007
ctr_015,5G network expansion,2025-01-01,2025-12-31,EUR,Active,cst_008
ctr_016,Customer billing transformation,2025-04-01,2025-09-30,EUR,Draft,cst_008
ctr_017,Factory automation rollout,2025-02-01,2025-11-30,RUB,Active,cst_009
ctr_018,Supply chain analytics,2024-09-01,2025-06-30,EUR,Inactive,cst_009
ctr_019,Content management platform,2025-01-15,2025-10-15,EUR,Active,cst_010
ctr_020,Advertising data integration,2025-03-01,2025-07-31,EUR,Active,cst_010
